problem_size,time_ms,pi_estimate,pi_error,pi_error_pct,throughput_gpts
100000000,0.336896,3.14166844,7.578641020700161e-05,0.0024123563607268755,296.8275075987842
200000000,0.572416,3.14165031,5.7656410207052033e-05,0.0018352605370772679,349.39624329159216
400000000,1.033216,3.1416277,3.5046410206796e-05,0.0011155618844075673,387.1407333994054
800000000,1.959936,3.14162222,2.9566410206793847e-05,0.0009411280667787817,408.1765935214211
1600000000,3.810304,3.14160972,1.706641020682298e-05,0.0005432407090499706,419.91400161246975
3200000000,7.512064,3.14161345,2.0796410206802562e-05,0.0006619702965958746,425.9814612868048
6400000000,14.918656,3.14161213,1.947641020683122e-05,0.0006199533916205264,428.9930674720297
12800000000,29.73184,3.14159443,1.7764102069328658e-06,5.654489307845245e-05,430.5148958153952
